Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	45	50.56179775280899	2.395130219583964E-15	KMT2D, KDM6A, SCAF4, TFE3, MED23, TCF7L2, WT1, LARP1, DAZAP1, FBXW7, SIN3A, CDKN2A, PBRM1, WAC, BCL9L, POLQ, KDM5C, STAG2, ASXL2, ZC3H13, PDS5B, ZMYM4, ZC3H18, TP53, MBD6, BRCA2, DIEXF, ARID1A, RB1, NXF1, ARID1B, MBD2, IWS1, USP28, RPS6KA3, HDAC2, BCORL1, ESRP1, MGA, MIS18BP1, ZFPM1, SETD2, USP43, NCOR1, RNF111	85	2784	18224	3.46551724137931	3.297362383136715E-13	3.297362383136715E-13	2.864375403532904E-12
UP_KEYWORDS	Phosphoprotein	72	80.89887640449437	6.622778234365978E-15	ZNF292, KDM6A, SCAF4, GRIK2, RBM6, TTK, LARP1, CDKN2A, SIN3A, ROBO2, KDM5C, STAG2, CNTN6, TP53, HLA-A, ADNP, BTBD7, DIEXF, ARID1A, RB1, ARID1B, MBD2, GCC2, USP28, EIF2AK1, ESRP1, SRGAP3, MGA, ZFPM1, KMT2D, TFE3, BMPR2, CTNND1, ARHGAP35, GON4L, SYCP2, TCF7L2, STAU2, FBXW7, MAP3K1, PBRM1, WAC, NFATC4, BCL9L, USP35, TNRC6B, RASA1, COBLL1, ASXL2, SCLT1, ZC3H13, PDS5B, ZC3H18, ZMYM4, NF1, MAP2K4, BRCA2, YTHDC2, NXF1, TET2, LARP4B, IWS1, ATRX, RPS6KA3, HDAC2, PHF14, BCORL1, PTCH1, MIS18BP1, SETD2, USP43, NCOR1	89	8246	20581	2.0191362785361373	9.392486788328824E-13	9.392486788328824E-13	7.87148124459236E-12
UP_KEYWORDS	Nucleus	56	62.92134831460674	2.45435359014067E-13	KDM6A, ZNF292, SCAF4, RBM6, MED23, CDKN2A, SIN3A, STAG2, KDM5C, TP53, MBD6, BTBD7, ADNP, ARID1A, DIEXF, RB1, ARID1B, MBD2, USP28, ESRP1, MGA, ZFPM1, KMT2D, TFE3, CTNND1, ARHGAP35, GON4L, SYCP2, TCF7L2, WT1, STAU2, DAZAP1, FBXW7, PBRM1, NFATC4, ZNF750, BCL9L, WAC, POLQ, ASXL2, ZC3H13, PDS5B, ZC3H18, NF1, MAP2K4, BRCA2, NXF1, IWS1, ATRX, RPS6KA3, HDAC2, BCORL1, MIS18BP1, SETD2, NCOR1, RNF111	89	5244	20581	2.469458942911749	3.461131381499172E-11	1.730571241864709E-11	2.899902540320909E-10
UP_KEYWORDS	Ubl conjugation	29	32.58426966292135	2.2521083856654988E-10	KMT2D, TRIM17, GRIK2, TFE3, RBM6, TCF7L2, WT1, LARP1, FBXW7, SIN3A, CDKN2A, PBRM1, NFATC4, ZC3H13, ZMYM4, ZC3H18, TP53, HLA-A, ADNP, BRCA2, ATRX, HDAC2, BCORL1, MGA, PTCH1, MIS18BP1, SETD2, NCOR1, RNF111	89	1705	20581	3.9332366799565066	3.175472929051182E-8	1.058490994854111E-8	2.660581199798173E-7
UP_KEYWORDS	Chromatin regulator	14	15.730337078651685	2.7137311707460836E-10	KMT2D, KDM6A, ARID1A, ARID1B, RB1, TET2, ATRX, HDAC2, BCORL1, PBRM1, WAC, SETD2, NCOR1, KDM5C	89	287	20581	11.2803507810359	3.826361283376656E-8	9.565903402730669E-9	3.2059302990106175E-7
UP_KEYWORDS	Alternative splicing	73	82.02247191011236	2.7351650207200714E-9	ZNF292, SCAF4, GRIK2, RBM6, TTK, MED23, LARP1, SLC2A5, CDKN2A, XYLT2, RMND5B, ROBO2, KDM5C, STAG2, SLC22A9, TP53, HLA-A, BTBD7, ARID1A, ARID1B, MBD2, GCC2, USP28, EIF2AK1, ESRP1, SRGAP3, MGA, ASTE1, KMT2D, TRIM17, ADAMTSL4, TFE3, BMPR2, CTNND1, GON4L, TCF7L2, STAU2, WT1, PKD1L2, DAZAP1, FBXW7, RTKN2, PBRM1, WAC, NFATC4, BCL9L, USP35, TNRC6B, POLQ, RASA1, COBLL1, ASXL2, SCLT1, ZC3H13, PDS5B, ZC3H18, ZMYM4, FAM111B, NF1, MAP2K4, NXF1, TET2, IWS1, ATRX, HDAC2, PHF14, BCORL1, PTCH1, MIS18BP1, SETD2, USP43, NCOR1, RNF111	89	10587	20581	1.5945069371701355	3.856581888284083E-7	7.713164962286356E-8	3.231251222146625E-6
UP_KEYWORDS	Transcription regulation	32	35.95505617977528	3.2793255520343026E-9	KMT2D, ZNF292, TFE3, CTNND1, ARHGAP35, GON4L, MED23, TCF7L2, WT1, SIN3A, CDKN2A, PBRM1, ZNF750, BCL9L, WAC, NFATC4, KDM5C, ASXL2, TP53, ADNP, ARID1A, RB1, ARID1B, MBD2, IWS1, ATRX, HDAC2, BCORL1, MGA, ZFPM1, SETD2, NCOR1	89	2332	20581	3.173203307186771	4.623848018914245E-7	7.706414850705556E-8	3.874108089885198E-6
UP_KEYWORDS	Transcription	32	35.95505617977528	6.427980571616666E-9	KMT2D, ZNF292, TFE3, CTNND1, ARHGAP35, GON4L, MED23, TCF7L2, WT1, SIN3A, CDKN2A, PBRM1, ZNF750, BCL9L, WAC, NFATC4, KDM5C, ASXL2, TP53, ADNP, ARID1A, RB1, ARID1B, MBD2, IWS1, ATRX, HDAC2, BCORL1, MGA, ZFPM1, SETD2, NCOR1	89	2398	20581	3.085867436346768	9.063448557222742E-7	1.2947788685657713E-7	7.593845297027002E-6
UP_KEYWORDS	Isopeptide bond	22	24.719101123595504	8.560234882713076E-9	KMT2D, ZC3H13, ZC3H18, ZMYM4, GRIK2, TP53, ADNP, RBM6, GON4L, TCF7L2, WT1, LARP1, ATRX, HDAC2, BCORL1, MGA, PBRM1, PTCH1, MIS18BP1, SETD2, NCOR1, RNF111	89	1132	20581	4.494203358875611	1.206992391256101E-6	1.5087412852388127E-7	1.0112833659370324E-5
UP_SEQ_FEATURE	compositionally biased region:Pro-rich	20	22.47191011235955	2.9694825285090792E-8	KMT2D, ZC3H18, ADAMTSL4, MBD6, BTBD7, ARHGAP35, NXF1, ARID1B, TET2, TCF7L2, WT1, DAZAP1, BCORL1, PBRM1, NFATC4, BCL9L, TNRC6B, SETD2, NCOR1, RNF111	88	978	20063	4.662344301914854	1.3421971143734446E-5	1.3421971143734446E-5	4.215463911272366E-5
