	OG	TSG
C10orf90_ENST00000368674	0.0	1.0
POP1	0.0	1.0
SEC63	0.0	1.0
CWC22	0.0	1.0
RBM6	0.0	1.0
TRIM37	0.0	1.0
COG5	0.0	1.0
RPUSD3	0.0	1.0
SPECC1_ENST00000261503	0.0	1.0
TNFSF18_ENST00000404377	0.0	1.0
MPP1	0.0	1.0
TSC1_ENST00000403810	0.0	1.0
BPI	0.0	1.0
FRG1	0.0	1.0
ZNF616	0.0	1.0
DMKN	0.0	1.0
PHACTR1	0.0	1.0
C12orf71	0.0	1.0
FURIN	0.0	1.0
SPINK5	0.0	1.0
KRT7	0.0	1.0
ZNF324B	0.0	1.0
TRIM36	0.0	1.0
HOXD10	0.0	1.0
DNAJC21	0.0	1.0
NR1I3_ENST00000428574	0.0	1.0
HLCS	0.0	1.0
GLTSCR2	0.0	1.0
MTPAP	0.0	1.0
EPM2AIP1	0.0	1.0
ACSL6_ENST00000379272	0.0	1.0
TBC1D14_ENST00000409757	0.0	1.0
SLAMF8	0.0	1.0
RSPH4A	0.0	1.0
FOXJ3	0.0	1.0
DMRTA1	0.0	1.0
CRNKL1	0.0	1.0
DNMT3B_ENST00000201963	0.0	1.0
ZNF749	0.0	1.0
ATXN10	0.0	1.0
NR1I3	0.0	1.0
LCLAT1	0.0	1.0
CD207	0.0	1.0
RASAL1	0.0	1.0
VWA5B1_ENST00000375083	0.0	1.0
EEF2K_ENST00000263026	0.0	1.0
ASB8	0.0	1.0
PLS3	0.0	1.0
PSIP1_ENST00000380715	0.0	1.0
TBC1D14	0.0	1.0
NR1I3_ENST00000367981	0.0	1.0
PRMT1	0.0	1.0
CTDSPL2	0.0	1.0
CEP89	0.0	1.0
DNAJC14	0.0	1.0
CTAGE1	0.0	1.0
NOX4	0.0	1.0
MPEG1	0.0	1.0
YKT6	0.0	1.0
MITF_ENST00000328528	0.0	1.0
RDX	0.0	1.0
FAM126A	0.0	1.0
PSIP1_ENST00000380733	0.0	1.0
SLC46A3	0.0	1.0
ADAM10	0.0	1.0
ZBTB33	0.0	1.0
ZKSCAN4	0.0	1.0
C10orf28	0.0	1.0
ZNF165	0.0	1.0
TMEM26	0.0	1.0
SH3D19	0.0	1.0
CENPT	0.0	1.0
POLN	0.0	1.0
SATL1	0.0	1.0
LRRC27_ENST00000368610	0.0	1.0
SP1_ENST00000327443	0.0	1.0
PABPC1	0.0	1.0
DNHL1	0.0	1.0
EIF2B5	0.0	1.0
C20orf96_ENST00000382369	0.0	1.0
CCDC148	0.0	1.0
LRRC28	0.0	1.0
DEPDC1	0.0	1.0
BLNK_ENST00000427367	0.0	1.0
KIAA0528_ENST00000544930	0.0	1.0
PSIP1	0.0	1.0
ZNF622	0.0	1.0
ERI1	0.0	1.0
INTS12	0.0	1.0
RAI14	0.0	1.0
EFHA1	0.0	1.0
C15orf60	0.0	1.0
N4BP1	0.0	1.0
E2F8	0.0	1.0
SH3GL3_ENST00000427482	0.0	1.0
PTGER2	0.0	1.0
KIAA1467	0.0	1.0
STOML1	0.0	1.0
STAT2	0.0	1.0
OCRL	0.0	1.0
IPO9	0.0	1.0
TMEM30A	0.0	1.0
CCDC69	0.0	1.0
GSDMB_ENST00000418519	0.0	1.0
WEE2	0.0	1.0
MLXIP	0.0	1.0
STK33_ENST00000447869	0.0	1.0
CTAGE1_ENST00000391403	0.0	1.0
KAT2B	0.0	1.0
TBC1D5	0.0	1.0
ATE1_ENST00000224652	0.0	1.0
SPICE1	0.0	1.0
ARPC2	0.0	1.0
SHC4	0.0	1.0
DEF6	0.0	1.0
ZNF189	0.0	1.0
MITF_ENST00000314589	0.0	1.0
ARNTL	0.0	1.0
EPB42	0.0	1.0
CLK1_ENST00000434813	0.0	1.0
CPEB4	0.0	1.0
ATG4D	0.0	1.0
ATP9A	0.0	1.0
TBR1	0.0	1.0
ACY1	0.0	1.0
ZDHHC6	0.0	1.0
UBE3A	0.0	1.0
TIA1	0.0	1.0
PRL	0.0	1.0
MTIF3	0.0	1.0
GALNS	0.0	1.0
PML_ENST00000435786	0.0	1.0
TRIM38	0.0	1.0
ADD3	0.0	1.0
PHLDB3	0.0	1.0
MORF4L1	0.0	1.0
RBM23	0.0	1.0
ATF6	0.0	1.0
ZNF790	0.0	1.0
MIOS	0.0	1.0
METTL13	0.0	1.0
MTBP	0.0	1.0
ZNF491	0.0	1.0
LEFTY2	0.0	1.0
HIF3A	0.0	1.0
CRELD1	0.0	1.0
CA9	0.0	1.0
SP100	0.0	1.0
PNMA2	0.0	1.0
PKD2	0.0	1.0
SLC28A1_ENST00000338602	0.0	1.0
GPC3_ENST00000394299	0.0	1.0
WDR45_ENST00000322995	0.0	1.0
PHF16	0.0	1.0
TRIP4	0.0	1.0
AKAP1	0.0	1.0
BTBD16	0.0	1.0
EXOC6B_ENST00000272427	0.0	1.0
ZNF699	0.0	1.0
DLGAP5	0.0	1.0
ERMN	0.0	1.0
PGLYRP2_ENST00000292609	0.0	1.0
CCDC51	0.0	1.0
FLJ35880	0.0	1.0
RNASE10	0.0	1.0
RBAK_ENST00000396912	0.0	1.0
ZNF518B	0.0	1.0
ABCA4_ENST00000535735	0.0	1.0
SLC26A5	0.0	1.0
TAS2R7	0.0	1.0
BACH1	0.0	1.0
RPS2	0.0	1.0
DMGDH_ENST00000380311	0.0	1.0
TMEM31	0.0	1.0
DBR1	0.0	1.0
TNIP1	0.0	1.0
TSGA10IP	0.0	1.0
KRTAP12-3	0.0	1.0
PLA2G7	0.0	1.0
NUF2_ENST00000271452	0.0	1.0
KCTD2	0.0	1.0
SMARCE1_ENST00000348513	0.0	1.0
PAPOLA	0.0	1.0
HOXB6	0.0	1.0
CRELD2	0.0	1.0
FOXJ2_ENST00000428177	0.0	1.0
EXOSC10	0.0	1.0
VPS53	0.0	1.0
GPR152	0.0	1.0
IL27RA	0.0	1.0
TMPRSS2_ENST00000398585	0.0	1.0
TTC26	0.0	1.0
ZNF207	0.0	1.0
FNDC7_ENST00000271311	0.027450980392156866	0.9725490196078432
FYN_ENST00000368682	0.027450980392156866	0.9725490196078432
CBLB_ENST00000394027	0.027450980392156866	0.9725490196078432
ZFP36L1	0.027450980392156866	0.9725490196078432
NFATC4_ENST00000555453	0.027450980392156866	0.9725490196078432
KIAA1486	0.027450980392156866	0.9725490196078432
NEK8	0.027450980392156866	0.9725490196078432
TGFBR2_ENST00000359013	0.027450980392156866	0.9725490196078432
ACACB_ENST00000543201	0.027450980392156866	0.9725490196078432
TTN_ENST00000356127	0.05	0.95
TTN_ENST00000359218	0.05	0.95
TTN_ENST00000342992	0.05	0.95
TTN_ENST00000342175	0.05	0.95
TRIM8	0.05365853658536586	0.9463414634146341
C12orf44	0.05365853658536586	0.9463414634146341
LIPC	0.05365853658536586	0.9463414634146341
NRP1_ENST00000432372	0.05365853658536586	0.9463414634146341
SEC14L3_ENST00000415957	0.05365853658536586	0.9463414634146341
RBFA	0.05365853658536586	0.9463414634146341
TSFM_ENST00000543727	0.05365853658536586	0.9463414634146341
PLEKHH3	0.05365853658536586	0.9463414634146341
MRPL40	0.05365853658536586	0.9463414634146341
ABTB1	0.05365853658536586	0.9463414634146341
AK1	0.05365853658536586	0.9463414634146341
SLC30A5	0.05365853658536586	0.9463414634146341
ZNF695_ENST00000487338	0.05365853658536586	0.9463414634146341
RAP1GAP	0.05365853658536586	0.9463414634146341
WDR38	0.05365853658536586	0.9463414634146341
HCN3	0.05365853658536586	0.9463414634146341
PPP1R15B	0.05365853658536586	0.9463414634146341
LRSAM1	0.05365853658536586	0.9463414634146341
TACC3	0.05365853658536586	0.9463414634146341
TSPAN19_ENST00000532498	0.05365853658536586	0.9463414634146341
PROX2	0.05365853658536586	0.9463414634146341
FAM161A_ENST00000404929	0.05365853658536586	0.9463414634146341
ANAPC5	0.05365853658536586	0.9463414634146341
SEPT6	0.05365853658536586	0.9463414634146341
ELP3	0.05365853658536586	0.9463414634146341
TPM1_ENST00000334895	0.05365853658536586	0.9463414634146341
ADAMTS4_ENST00000367996	0.05365853658536586	0.9463414634146341
C16orf59	0.05365853658536586	0.9463414634146341
TBC1D2	0.05365853658536586	0.9463414634146341
SLC25A27_ENST00000411689	0.05365853658536586	0.9463414634146341
TTC39C	0.05365853658536586	0.9463414634146341
CRHR2_ENST00000348438	0.05365853658536586	0.9463414634146341
DQX1	0.05365853658536586	0.9463414634146341
NEK2_ENST00000366998	0.05365853658536586	0.9463414634146341
TSPY2	0.05365853658536586	0.9463414634146341
SLC12A3	0.05365853658536586	0.9463414634146341
TOR1B	0.05365853658536586	0.9463414634146341
OVGP1_ENST00000369728	0.05365853658536586	0.9463414634146341
ZBTB48	0.05365853658536586	0.9463414634146341
EIF5AL1	0.05365853658536586	0.9463414634146341
ACCN2	0.05365853658536586	0.9463414634146341
ASPH	0.05365853658536586	0.9463414634146341
HMGN1	0.05365853658536586	0.9463414634146341
PTPN2	0.05365853658536586	0.9463414634146341
MYOM3_ENST00000338909	0.05365853658536586	0.9463414634146341
OMA1	0.05365853658536586	0.9463414634146341
DDX31	0.05365853658536586	0.9463414634146341
NIP7	0.05365853658536586	0.9463414634146341
IMPACT	0.05365853658536586	0.9463414634146341
PRSS33	0.05365853658536586	0.9463414634146341
SNX27_ENST00000368843	0.05365853658536586	0.9463414634146341
PVRL2_ENST00000252483	0.05365853658536586	0.9463414634146341
CASP12	0.05365853658536586	0.9463414634146341
MTX1	0.05365853658536586	0.9463414634146341
DCUN1D1	0.05365853658536586	0.9463414634146341
LPXN	0.05365853658536586	0.9463414634146341
INPP5B	0.05365853658536586	0.9463414634146341
DNASE1L3	0.05365853658536586	0.9463414634146341
TFB2M	0.05365853658536586	0.9463414634146341
EIF5AL1_ENST00000520547	0.05365853658536586	0.9463414634146341
ZNF552	0.05365853658536586	0.9463414634146341
KRTAP4-11	0.05365853658536586	0.9463414634146341
UNKL_ENST00000403703	0.05365853658536586	0.9463414634146341
RPS4X_ENST00000316084	0.05365853658536586	0.9463414634146341
SPNS2	0.05365853658536586	0.9463414634146341
SH2D3C_ENST00000414380	0.05365853658536586	0.9463414634146341
TRIM15_ENST00000376688	0.05365853658536586	0.9463414634146341
MIER1	0.05365853658536586	0.9463414634146341
KIAA0415	0.05365853658536586	0.9463414634146341
YIF1B_ENST00000339413	0.05365853658536586	0.9463414634146341
C4orf36	0.05365853658536586	0.9463414634146341
PARP16	0.05365853658536586	0.9463414634146341
GRWD1	0.05365853658536586	0.9463414634146341
PLA2G2F	0.05365853658536586	0.9463414634146341
UGT2B15_ENST00000338206	0.05365853658536586	0.9463414634146341
C12orf56	0.05365853658536586	0.9463414634146341
SMG9	0.05365853658536586	0.9463414634146341
ZNF430	0.05365853658536586	0.9463414634146341
ZDHHC22	0.05365853658536586	0.9463414634146341
LYPLAL1	0.05365853658536586	0.9463414634146341
SMU1	0.05365853658536586	0.9463414634146341
GPR173_ENST00000332582	0.05365853658536586	0.9463414634146341
CCHCR1	0.05365853658536586	0.9463414634146341
DBNDD1_ENST00000304733	0.05365853658536586	0.9463414634146341
ITPKB_ENST00000429204	0.05365853658536586	0.9463414634146341
OR13J1	0.05365853658536586	0.9463414634146341
THUMPD3	0.05365853658536586	0.9463414634146341
CLTA	0.05365853658536586	0.9463414634146341
PSMF1_ENST00000246015	0.05365853658536586	0.9463414634146341
HMGB1	0.05365853658536586	0.9463414634146341
TMEM45A	0.05365853658536586	0.9463414634146341
IFNA13	0.05365853658536586	0.9463414634146341
PFKM	0.05365853658536586	0.9463414634146341
SKOR1_ENST00000380035	0.05365853658536586	0.9463414634146341
MIS18A	0.05365853658536586	0.9463414634146341
TDRD3	0.05365853658536586	0.9463414634146341
RPL23A	0.05365853658536586	0.9463414634146341
NRXN2_ENST00000301894	0.05365853658536586	0.9463414634146341
ARHGEF1	0.05365853658536586	0.9463414634146341
