Features	Num_feats	n_estimator	random_seed	Max_features	Max_depth	Criterion	Accuracy	F1_OG	F1_TSG	Precision_OG	Precision_TSG	Recall_OG	Recall_TSG
allFeat	37	27	0	sqrt	4	entropy	0.9125	0.8771929824561403	0.9320388349514563	0.8928571428571429	0.9230769230769231	0.8620689655172413	0.9411764705882353
allFeat	37	9	1	sqrt	2	gini	0.81875	0.7128712871287128	0.8675799086757991	0.8372093023255814	0.811965811965812	0.6206896551724138	0.9313725490196079
allFeat	37	9	2	sqrt	4	entropy	0.91875	0.8828828828828829	0.9377990430622011	0.9245283018867925	0.9158878504672897	0.8448275862068966	0.9607843137254902
allFeat	37	7	3	log2	2	entropy	0.8375	0.7346938775510204	0.882882882882883	0.9	0.8166666666666667	0.6206896551724138	0.9607843137254902
allFeat	37	22	4	log2	4	entropy	0.9375	0.9107142857142858	0.951923076923077	0.9444444444444444	0.9339622641509434	0.8793103448275862	0.9705882352941176
allFeat	37	10	5	log2	3	gini	0.85625	0.7889908256880734	0.8909952606635071	0.8431372549019608	0.8623853211009175	0.7413793103448276	0.9215686274509803
allFeat	37	6	6	log2	4	entropy	0.8875	0.830188679245283	0.9158878504672897	0.9166666666666666	0.875	0.7586206896551724	0.9607843137254902
allFeat	37	9	7	log2	4	gini	0.90625	0.8648648648648648	0.9282296650717703	0.9056603773584906	0.9065420560747663	0.8275862068965517	0.9509803921568627
allFeat	37	28	8	log2	4	entropy	0.93125	0.8990825688073395	0.9478672985781992	0.9607843137254902	0.9174311926605505	0.8448275862068966	0.9803921568627451
allFeat	37	18	9	log2	2	entropy	0.84375	0.7368421052631577	0.8888888888888888	0.9459459459459459	0.8130081300813008	0.603448275862069	0.9803921568627451
newFeat	19	19	0	sqrt	2	gini	0.79375	0.6292134831460675	0.8571428571428571	0.9032258064516129	0.7674418604651163	0.4827586206896552	0.9705882352941176
newFeat	19	20	1	sqrt	4	entropy	0.90625	0.8571428571428572	0.9302325581395348	0.9574468085106383	0.8849557522123894	0.7758620689655172	0.9803921568627451
newFeat	19	15	2	sqrt	3	entropy	0.84375	0.7368421052631577	0.8888888888888888	0.9459459459459459	0.8130081300813008	0.603448275862069	0.9803921568627451
newFeat	19	19	3	sqrt	3	gini	0.8125	0.6875000000000001	0.8660714285714285	0.868421052631579	0.7950819672131147	0.5689655172413793	0.9509803921568627
newFeat	19	9	4	sqrt	3	entropy	0.825	0.7142857142857142	0.8738738738738738	0.875	0.8083333333333333	0.603448275862069	0.9509803921568627
newFeat	19	7	5	sqrt	3	gini	0.8375	0.7450980392156864	0.8807339449541284	0.8636363636363636	0.8275862068965517	0.6551724137931034	0.9411764705882353
newFeat	19	8	6	sqrt	3	gini	0.8	0.6666666666666666	0.8571428571428571	0.8421052631578947	0.7868852459016393	0.5517241379310345	0.9411764705882353
newFeat	19	30	7	sqrt	3	gini	0.80625	0.6804123711340206	0.8609865470852018	0.8461538461538461	0.7933884297520661	0.5689655172413793	0.9411764705882353
newFeat	19	7	8	sqrt	4	gini	0.925	0.8928571428571429	0.9423076923076923	0.9259259259259259	0.9245283018867925	0.8620689655172413	0.9607843137254902
newFeat	19	28	9	sqrt	3	entropy	0.8375	0.7346938775510204	0.882882882882883	0.9	0.8166666666666667	0.6206896551724138	0.9607843137254902
oldFeat	18	21	0	sqrt	2	entropy	0.825	0.7142857142857142	0.8738738738738738	0.875	0.8083333333333333	0.603448275862069	0.9509803921568627
oldFeat	18	25	1	sqrt	4	entropy	0.9375	0.9137931034482759	0.9509803921568627	0.9137931034482759	0.9509803921568627	0.9137931034482759	0.9509803921568627
oldFeat	18	7	2	sqrt	3	gini	0.84375	0.7368421052631577	0.8888888888888888	0.9459459459459459	0.8130081300813008	0.603448275862069	0.9803921568627451
oldFeat	18	11	3	sqrt	3	entropy	0.8625	0.7924528301886793	0.897196261682243	0.875	0.8571428571428571	0.7241379310344828	0.9411764705882353
oldFeat	18	27	4	sqrt	2	gini	0.825	0.7200000000000001	0.8727272727272728	0.8571428571428571	0.8135593220338984	0.6206896551724138	0.9411764705882353
oldFeat	18	6	5	sqrt	3	gini	0.85625	0.7766990291262136	0.8940092165898618	0.8888888888888888	0.8434782608695652	0.6896551724137931	0.9509803921568627
oldFeat	18	10	6	sqrt	4	entropy	0.9	0.8461538461538461	0.9259259259259259	0.9565217391304348	0.8771929824561403	0.7586206896551724	0.9803921568627451
oldFeat	18	30	7	sqrt	2	entropy	0.825	0.6956521739130435	0.8771929824561403	0.9411764705882353	0.7936507936507936	0.5517241379310345	0.9803921568627451
oldFeat	18	30	8	sqrt	2	gini	0.81875	0.6947368421052632	0.8711111111111112	0.8918918918918919	0.7967479674796748	0.5689655172413793	0.9607843137254902
oldFeat	18	15	9	sqrt	3	entropy	0.8625	0.7755102040816326	0.9009009009009009	0.95	0.8333333333333334	0.6551724137931034	0.9803921568627451
