	OG	TSG
SOX9	-inf	0.0
ZNF750	-inf	0.0
MCM7	-inf	0.0
NCKAP5_ENST00000405974	-inf	0.0
BEST2	-inf	0.0
SOX30	-inf	0.0
USP43	-inf	0.0
USP9X_ENST00000324545	-inf	0.0
CTNND1	-inf	0.0
ADAMTS6_ENST00000381055	-inf	0.0
RNF214	-inf	0.0
TOR1AIP1	-inf	0.0
NIPBL_ENST00000448238	-inf	0.0
TBC1D4	-inf	0.0
MLL_ENST00000534358	-inf	0.0
MYOC	-inf	0.0
HUS1	-inf	0.0
MAPK8IP1	-inf	0.0
TGIF2LX	-inf	0.0
RNASEH1	-inf	0.0
SCIN	-inf	0.0
RBM46	-inf	0.0
CDH13_ENST00000431540	-inf	0.0
NPAT	-inf	0.0
CEP97	-inf	0.0
KIAA0913_ENST00000398706	-inf	0.0
SPATA6	-inf	0.0
ZNF717	-inf	0.0
ZNF292	-inf	0.0
THSD7A	-inf	0.0
LEPR_ENST00000349533	-inf	0.0
Q99543-2	-inf	0.0
FCAR	-inf	0.0
ABL1_ENST00000318560	-inf	0.0
TNFSF18	-inf	0.0
CHODL	-inf	0.0
BRD7	-inf	0.0
ENSG00000269541	-inf	0.0
BTN2A1	-inf	0.0
C7orf50	-inf	0.0
SUSD5	-inf	0.0
CCR2_ENST00000445132	-inf	0.0
CCDC47	-inf	0.0
IFI16	-inf	0.0
ANAPC4	-inf	0.0
NOTCH3	-inf	0.0
TPX2	-inf	0.0
DOCK4	-inf	0.0
ARID1A	-inf	0.0
SCN11A	-inf	0.0
TRIM17	-inf	0.0
SRGAP3_ENST00000360413	-inf	0.0
RBM5	-inf	0.0
ZNF189	-inf	0.0
RFPL2_ENST00000400237	-inf	0.0
KIRREL	-inf	0.0
TNFRSF14_ENST00000355716	-inf	0.0
C2orf57	-inf	0.0
RNF6	-inf	0.0
AMBRA1_ENST00000458649	-inf	0.0
VPS13B	-inf	0.0
SNX16	-inf	0.0
PABPC4L	-inf	0.0
ARMC3	-inf	0.0
SULF1	-inf	0.0
C6orf25	-inf	0.0
ZNF622	-inf	0.0
ZNF711	-inf	0.0
UBE3A	-inf	0.0
KIAA1324	-inf	0.0
PLEKHA1	-inf	0.0
C15orf52	-inf	0.0
EPX	-inf	0.0
PAF1	-inf	0.0
SPECC1_ENST00000261503	-inf	0.0
MAOB	-inf	0.0
LRRC52	-inf	0.0
CDC14A_ENST00000361544	-inf	0.0
CNTNAP3_ENST00000358144	-inf	0.0
ACY1	-inf	0.0
UGT2A1	-inf	0.0
KIRREL_ENST00000359209	-inf	0.0
RCAN3	-inf	0.0
ENSG00000156509	-inf	0.0
COL8A2	-inf	0.0
PAQR6	-inf	0.0
MIF4GD	-inf	0.0
CEACAM1	-inf	0.0
TRIM36_ENST00000282369	-inf	0.0
C10orf112_ENST00000455457	-inf	0.0
WT1_ENST00000332351	-inf	0.0
ZNF181	-inf	0.0
SAMD4A	-inf	0.0
ACCN1	-inf	0.0
DNM2_ENST00000389253	-inf	0.0
OR51B5	-inf	0.0
MAP3K4	-inf	0.0
OTUD7B	-inf	0.0
FAM172A	-inf	0.0
FAM124B_ENST00000409685	-inf	0.0
TRIP12	-inf	0.0
IL9R_ENST00000369423	-inf	0.0
ATP11A_ENST00000375630	-inf	0.0
DHX29	-inf	0.0
FRS2_ENST00000299293	-inf	0.0
CEP170_ENST00000366543	-inf	0.0
FAT2	-inf	0.0
ESRP1	-inf	0.0
TTC26	-inf	0.0
DNAH2	-inf	0.0
IRF6	-inf	0.0
PBX4	-inf	0.0
CDKN1A_ENST00000448526	-inf	0.0
FAM19A2	-inf	0.0
PSD	-inf	0.0
PCLO	-inf	0.0
