	OG	TSG
PCDHA2	-4.53617731450114	-0.010772096981911183
PTMA	-4.143134726391533	-0.016000341346441075
FIP1L1_ENST00000337488	-3.5806658694737035	-0.028252512951883968
MUC12	-3.5806658694737035	-0.028252512951883968
HLA-B	-3.5806658694737035	-0.028252512951883968
MUC12_ENST00000379442	-3.5806658694737035	-0.028252512951883968
PCDHGA8	-3.5806658694737035	-0.028252512951883968
FNIP1	-3.5806658694737035	-0.028252512951883968
ZC3H3	-3.0853444322436783	-0.04679216150675894
FBXW7_NM_018315_2	-3.0853444322436783	-0.04679216150675894
OBSCN_ENST00000359599	-3.0853444322436783	-0.04679216150675894
TMPRSS2_ENST00000454499	-3.0853444322436783	-0.04679216150675894
ARL13B_ENST00000394222	-3.0853444322436783	-0.04679216150675894
ADAM21_ENST00000267499	-3.0853444322436783	-0.04679216150675894
TRIOBP_ENST00000344404	-3.0853444322436783	-0.04679216150675894
SPARCL1	-3.0853444322436783	-0.04679216150675894
ZNF717_ENST00000400845	-3.0853444322436783	-0.04679216150675894
FOXP1	-3.0853444322436783	-0.04679216150675894
ZNF708	-3.0853444322436783	-0.04679216150675894
KIAA1462	-3.0853444322436783	-0.04679216150675894
ADAM21	-3.0853444322436783	-0.04679216150675894
MKS1	-3.044522437723423	-0.048790164169431945
IPCEF1	-3.044522437723423	-0.048790164169431945
PCDHA2_ENST00000526136	-2.8747796631363283	-0.05808321108102473
ZNF717	-2.8747796631363283	-0.05808321108102473
ENSG00000174501	-2.8747796631363283	-0.05808321108102473
FRG2C	-2.8747796631363283	-0.05808321108102473
IGSF3_ENST00000369483	-2.8747796631363283	-0.05808321108102473
HLA-A_ENST00000376806	-2.8747796631363283	-0.05808321108102473
PER3	-2.8747796631363283	-0.05808321108102473
ACIN1	-2.8747796631363283	-0.05808321108102473
CELA1	-2.8747796631363283	-0.05808321108102473
GPS2	-2.8747796631363283	-0.05808321108102473
GIGYF1	-2.8747796631363283	-0.05808321108102473
PHF6_ENST00000370800	-2.8747796631363283	-0.05808321108102473
DCP1B	-2.8747796631363283	-0.05808321108102473
SYTL2_ENST00000316356	-2.8747796631363283	-0.05808321108102473
DNAH17	-2.8747796631363283	-0.05808321108102473
WDR64_ENST00000366552	-2.8747796631363283	-0.05808321108102473
MAP1S	-2.8747796631363283	-0.05808321108102473
NCOR2_ENST00000405201	-2.8747796631363283	-0.05808321108102473
CROCC	-2.8747796631363283	-0.05808321108102473
IGSF3	-2.8747796631363283	-0.05808321108102473
OTOGL_ENST00000458043	-2.8747796631363283	-0.05808321108102473
PDE4DIP	-2.8747796631363283	-0.05808321108102473
COL18A1	-2.8747796631363283	-0.05808321108102473
GOLGA6L2	-2.8747796631363283	-0.05808321108102473
ZCCHC2	-2.841581593726733	-0.06010392406970544
FIP1L1_ENST00000358575	-2.8200464411754345	-0.06145333812282946
PPP2R5A_ENST00000537030	-2.8200464411754345	-0.06145333812282946
SAV1	-2.8081336596591924	-0.0622131845015727
EIF4G3	-2.8081336596591924	-0.0622131845015727
EIF4G3_ENST00000374937	-2.8081336596591924	-0.0622131845015727
EPM2AIP1	-2.7370377379754625	-0.06695413479710333
TTLL5	-2.7370377379754625	-0.06695413479710333
LRRIQ3	-2.6835090921860925	-0.07076907088820726
TCF4_ENST00000398339	-2.6835090921860925	-0.07076907088820726
HS1BP3	-2.6835090921860925	-0.07076907088820726
OR51B5	-2.6835090921860925	-0.07076907088820726
ZNF626_ENST00000392298	-2.6835090921860925	-0.07076907088820726
FOLH1	-2.6835090921860925	-0.07076907088820726
GRM1	-2.6835090921860925	-0.07076907088820726
ZNF107	-2.6835090921860925	-0.07076907088820726
ADAM28	-2.6835090921860925	-0.07076907088820726
TNIK_ENST00000436636	-2.6835090921860925	-0.07076907088820726
HMGB4	-2.656421617524595	-0.07278466368993652
BMP2K_ENST00000502871	-2.656421617524595	-0.07278466368993652
FGF2	-2.6527875224271606	-0.07305957086950508
ATP11C	-2.644628374664714	-0.07368071301455831
