	OG	TSG
IFI44_ENST00000446486	-1.5971297373733941	-0.2262444121099112
ENSG00000214841	-1.5971297373733941	-0.2262444121099112
IP6K2_ENST00000432678	-1.5971297373733941	-0.2262444121099112
ENSG00000269647	-1.5971297373733941	-0.2262444121099112
ENSG00000269305	-1.5971297373733941	-0.2262444121099112
RP11-366L20.2	-1.5971297373733941	-0.2262444121099112
Q6ZQU9_HUMAN	-1.5971297373733941	-0.2262444121099112
Q86TT0_HUMAN	-1.5971297373733941	-0.2262444121099112
CD99_ENST00000381180	-1.5971297373733941	-0.2262444121099112
Q9P2A3_HUMAN	-1.5971297373733941	-0.2262444121099112
WDR3_ENST00000369441	-1.5971297373733941	-0.2262444121099112
RPL38	-1.3909895416603717	-0.286121898353
ENSG00000267893	-1.3909895416603717	-0.286121898353
RP11-80A15.1	-1.3909895416603717	-0.286121898353
AL118506.1	-1.3909895416603717	-0.286121898353
RPL23AP82	-1.3909895416603717	-0.286121898353
PRKCH	-1.3453438158190125	-0.3017135827199978
CEP170	-1.3453438158190125	-0.3017135827199978
LOC133308	-1.310312095606187	-0.31434897449195365
NHEDC2	-1.310312095606187	-0.31434897449195365
CHD2	-1.3076675023609883	-0.31532757282565615
EPN2	-1.3076675023609883	-0.31532757282565615
CHD2_ENST00000394196	-1.3076675023609883	-0.31532757282565615
NR1I3_ENST00000428574	-1.3076675023609883	-0.31532757282565615
BAX	-1.3076675023609883	-0.31532757282565615
VEPH1	-1.3076675023609883	-0.31532757282565615
SAT1_ENST00000379251	-1.3076675023609883	-0.31532757282565615
CEP170_ENST00000366543	-1.3076675023609883	-0.31532757282565615
THEM5_ENST00000453881	-1.3076675023609883	-0.31532757282565615
GIGYF2	-1.3076675023609883	-0.31532757282565615
NR1I3_ENST00000367981	-1.3076675023609883	-0.31532757282565615
WDR23	-1.3076675023609883	-0.31532757282565615
RAB40B	-1.3076675023609883	-0.31532757282565615
G2E3	-1.3076675023609883	-0.31532757282565615
LEPR_ENST00000344610	-1.3076675023609883	-0.31532757282565615
CELF1	-1.2956754145800469	-0.3198099320915236
PPP1R13B	-1.2956754145800469	-0.3198099320915236
SYTL2_ENST00000316356	-1.2956754145800469	-0.3198099320915236
AMMECR1	-1.2956754145800469	-0.3198099320915236
P4HA1_ENST00000373008	-1.2956754145800469	-0.3198099320915236
MITF_ENST00000314589	-1.2956754145800469	-0.3198099320915236
CAMTA2_ENST00000414043	-1.2956754145800469	-0.3198099320915236
RORA	-1.2956754145800469	-0.3198099320915236
BAG6	-1.2956754145800469	-0.3198099320915236
SMARCC2	-1.2956754145800469	-0.3198099320915236
MITF_ENST00000328528	-1.2956754145800469	-0.3198099320915236
MPDZ	-1.2956754145800469	-0.3198099320915236
SMARCC2_ENST00000267064	-1.2956754145800469	-0.3198099320915236
