	OG	TSG
SOX9	0.0	1.0
ZNF750	0.0	1.0
MCM7	0.0	1.0
NCKAP5_ENST00000405974	0.0	1.0
BEST2	0.0	1.0
SOX30	0.0	1.0
USP43	0.0	1.0
USP9X_ENST00000324545	0.0	1.0
CTNND1	0.0	1.0
ADAMTS6_ENST00000381055	0.0	1.0
RNF214	0.0	1.0
TOR1AIP1	0.0	1.0
NIPBL_ENST00000448238	0.0	1.0
TBC1D4	0.0	1.0
MLL_ENST00000534358	0.0	1.0
MYOC	0.0	1.0
HUS1	0.0	1.0
MAPK8IP1	0.0	1.0
TGIF2LX	0.0	1.0
RNASEH1	0.0	1.0
SCIN	0.0	1.0
RBM46	0.0	1.0
CDH13_ENST00000431540	0.0	1.0
NPAT	0.0	1.0
CEP97	0.0	1.0
KIAA0913_ENST00000398706	0.0	1.0
SPATA6	0.0	1.0
ZNF717	0.0	1.0
ZNF292	0.0	1.0
THSD7A	0.0	1.0
LEPR_ENST00000349533	0.0	1.0
Q99543-2	0.0	1.0
FCAR	0.0	1.0
ABL1_ENST00000318560	0.0	1.0
TNFSF18	0.0	1.0
CHODL	0.0	1.0
BRD7	0.0	1.0
ENSG00000269541	0.0	1.0
BTN2A1	0.0	1.0
C7orf50	0.0	1.0
SUSD5	0.0	1.0
CCR2_ENST00000445132	0.0	1.0
CCDC47	0.0	1.0
IFI16	0.0	1.0
ANAPC4	0.0	1.0
NOTCH3	0.0	1.0
TPX2	0.0	1.0
DOCK4	0.0	1.0
ARID1A	0.0	1.0
SCN11A	0.0	1.0
TRIM17	0.0	1.0
SRGAP3_ENST00000360413	0.0	1.0
RBM5	0.0	1.0
ZNF189	0.0	1.0
RFPL2_ENST00000400237	0.0	1.0
KIRREL	0.0	1.0
TNFRSF14_ENST00000355716	0.0	1.0
C2orf57	0.0	1.0
RNF6	0.0	1.0
AMBRA1_ENST00000458649	0.0	1.0
VPS13B	0.0	1.0
SNX16	0.0	1.0
PABPC4L	0.0	1.0
ARMC3	0.0	1.0
SULF1	0.0	1.0
C6orf25	0.0	1.0
ZNF622	0.0	1.0
ZNF711	0.0	1.0
UBE3A	0.0	1.0
KIAA1324	0.0	1.0
PLEKHA1	0.0	1.0
C15orf52	0.0	1.0
EPX	0.0	1.0
PAF1	0.0	1.0
SPECC1_ENST00000261503	0.0	1.0
MAOB	0.0	1.0
LRRC52	0.0	1.0
CDC14A_ENST00000361544	0.0	1.0
CNTNAP3_ENST00000358144	0.0	1.0
ACY1	0.0	1.0
UGT2A1	0.0	1.0
KIRREL_ENST00000359209	0.0	1.0
RCAN3	0.0	1.0
ENSG00000156509	0.0	1.0
COL8A2	0.0	1.0
PAQR6	0.0	1.0
MIF4GD	0.0	1.0
CEACAM1	0.0	1.0
TRIM36_ENST00000282369	0.0	1.0
C10orf112_ENST00000455457	0.0	1.0
WT1_ENST00000332351	0.0	1.0
ZNF181	0.0	1.0
SAMD4A	0.0	1.0
ACCN1	0.0	1.0
DNM2_ENST00000389253	0.0	1.0
OR51B5	0.0	1.0
MAP3K4	0.0	1.0
OTUD7B	0.0	1.0
FAM172A	0.0	1.0
FAM124B_ENST00000409685	0.0	1.0
TRIP12	0.0	1.0
IL9R_ENST00000369423	0.0	1.0
ATP11A_ENST00000375630	0.0	1.0
DHX29	0.0	1.0
FRS2_ENST00000299293	0.0	1.0
CEP170_ENST00000366543	0.0	1.0
FAT2	0.0	1.0
ESRP1	0.0	1.0
TTC26	0.0	1.0
DNAH2	0.0	1.0
IRF6	0.0	1.0
PBX4	0.0	1.0
CDKN1A_ENST00000448526	0.0	1.0
FAM19A2	0.0	1.0
PSD	0.0	1.0
PCLO	0.0	1.0
LCE3E	0.0	1.0
IRF1	0.0	1.0
MPDZ_ENST00000319217	0.0	1.0
EPB41L4A	0.0	1.0
KBTBD7	0.0	1.0
MTMR2_ENST00000346299	0.0	1.0
ICA1	0.0	1.0
RASA1	0.0	1.0
C14orf39	0.0	1.0
FBXO22	0.0	1.0
GAL3ST4	0.0	1.0
GLE1	0.0	1.0
TBC1D10C	0.0	1.0
UIMC1	0.0	1.0
SCRN3	0.0	1.0
VPRBP	0.0	1.0
PRKAR1B	0.0	1.0
SNUPN	0.0	1.0
ME2	0.0	1.0
HKR1_ENST00000392153	0.0	1.0
BMI1	0.0	1.0
BCORL1_ENST00000303743	0.0	1.0
LOC88523	0.0	1.0
PDK2	0.0	1.0
GALNT2	0.0	1.0
TMEM164_ENST00000372073	0.0	1.0
FAM190A	0.0	1.0
BZRAP1	0.0	1.0
C14orf118	0.0	1.0
SLC44A3	0.0	1.0
GNRHR	0.0	1.0
EIF2AK1_ENST00000536084	0.0	1.0
NOX4	0.0	1.0
DPPA4	0.0	1.0
NLRP1_ENST00000262467	0.0	1.0
ZNF365_ENST00000410046	0.0	1.0
LRRC7_ENST00000370958	0.0	1.0
DNAJC14	0.0	1.0
ZNF365_ENST00000395255	0.0	1.0
EDDM3B	0.0	1.0
LACTB2	0.0	1.0
RIMS2_ENST00000402998	0.0	1.0
CPN1	0.0	1.0
MYPN_ENST00000373675	0.0	1.0
GPR137B	0.0	1.0
PDE4D_ENST00000340635	0.0	1.0
C12orf36	0.0	1.0
FYN	0.0	1.0
SETMAR	0.0	1.0
MNS1	0.0	1.0
MICALCL	0.0	1.0
CELA1	0.0	1.0
EMR3	0.0	1.0
TSPAN2	0.0	1.0
ABCB4_ENST00000265723	0.0	1.0
ZNF180	0.0	1.0
PRKRA	0.0	1.0
RPL22	0.0	1.0
RASA2	0.0	1.0
PNMA2	0.0	1.0
ZNF544	0.0	1.0
PIM1	0.0	1.0
KRT38	0.0	1.0
DCDC5_ENST00000339794	0.0	1.0
NRIP1	0.0	1.0
PKMYT1	0.0	1.0
ABL1_ENST00000372348	0.0	1.0
ITSN2_ENST00000406921	0.0	1.0
NCOA7	0.0	1.0
ARL13B	0.0	1.0
LGR4	0.0	1.0
TASP1	0.0	1.0
ANK3_ENST00000395293	0.0	1.0
ASPN	0.0	1.0
TAF1B	0.0	1.0
RASAL2	0.0	1.0
CCND2	0.0	1.0
TRA2B	0.0	1.0
MNAT1	0.0	1.0
NCOR1_ENST00000395851	0.0	1.0
DERL1	0.0	1.0
BMPR2	0.0	1.0
CCND3	0.0	1.0
DDIT4L	0.0	1.0
OSBPL6_ENST00000315022	0.0	1.0
ITSN2	0.0	1.0
DDX24	0.0	1.0
GDPD2_ENST00000453994	0.0	1.0
C9orf85	0.0	1.0
CCDC102B_ENST00000584156	0.0	1.0
NOBOX_ENST00000467773	0.0	1.0
GYS2	0.0	1.0
F9	0.0	1.0
CBL	0.0	1.0
MBTPS2	0.0	1.0
PABPC4L_ENST00000529122	0.0	1.0
PLOD2	0.0	1.0
SEMA6C_ENST00000368913	0.0	1.0
MYEF2	0.0	1.0
POGLUT1	0.0	1.0
EXOG	0.0	1.0
SIN3A	0.0	1.0
SETDB1	0.0	1.0
PBRM1_ENST00000356770	0.0	1.0
FAM111B	0.0	1.0
PLAU	0.0	1.0
CRELD1	0.0	1.0
FOXJ3	0.0	1.0
EXOSC9	0.0	1.0
RABGGTB	0.0	1.0
TCHP	0.0	1.0
ARHGAP6	0.0	1.0
BCORL1	0.0	1.0
BTBD9_ENST00000403056	0.0	1.0
RCBTB1	0.0	1.0
OSBPL10_ENST00000396556	0.0	1.0
C10orf68	0.0	1.0
HOXA2	0.0	1.0
NHEDC2	0.0	1.0
NTRK2_ENST00000376214	0.0	1.0
TRIM21	0.0	1.0
FSIP2	0.0	1.0
DOCK3	0.0	1.0
PARVG	0.0	1.0
ATF6	0.0	1.0
DPP3	0.0	1.0
ZFP106	0.0	1.0
NOTCH1	0.0	1.0
EP400	0.0	1.0
LPCAT4	0.0	1.0
IFRD2	0.0	1.0
LEFTY2	0.0	1.0
XKR6	0.0	1.0
WDR47	0.0	1.0
RBM15_ENST00000369784	0.0	1.0
AHR	0.0	1.0
MGA	0.0	1.0
NIN_ENST00000245441	0.0	1.0
STAMBPL1	0.0	1.0
LUZP1	0.0	1.0
NEU3	0.0	1.0
NAP1L1	0.0	1.0
ZNF577	0.0	1.0
DYRK3_ENST00000367106	0.0	1.0
COG5	0.0	1.0
SATL1	0.0	1.0
CCNH	0.0	1.0
MAP3K7_ENST00000369329	0.0	1.0
CDH24_ENST00000397359	0.0	1.0
FYN_ENST00000368682	0.0	1.0
OR4D10_ENST00000530162	0.0	1.0
SLITRK2	0.0	1.0
NSMCE1	0.0	1.0
OGDH_ENST00000543843	0.0	1.0
STOML1	0.0	1.0
DMD_ENST00000378682	0.0	1.0
TCF12_ENST00000343827	0.0	1.0
PABPC3	0.0	1.0
HECA	0.0	1.0
PTER	0.0	1.0
AGBL2	0.0	1.0
NUP93	0.0	1.0
SLC25A24	0.0	1.0
ACVR1B_ENST00000541224	0.0	1.0
CRNN	0.0	1.0
SLC26A7_ENST00000309536	0.0	1.0
SPAG9_ENST00000262013	0.0	1.0
ZNF276	0.0	1.0
THUMPD2	0.0	1.0
CHD1	0.0	1.0
ELAVL2_ENST00000359598	0.0	1.0
CEP128	0.0	1.0
OR52A1	0.0	1.0
ZDHHC5	0.0	1.0
SCN1A	0.0	1.0
AASDH	0.0	1.0
CCL11	0.0	1.0
ZNF232	0.0	1.0
RBM27	0.0	1.0
OCIAD1	0.0	1.0
SLC3A1	0.0	1.0
SH2B1_ENST00000322610	0.0	1.0
LIPN	0.0	1.0
TMEM232	0.0	1.0
CLGN	0.0	1.0
KIF13A_ENST00000259711	0.0	1.0
PGR	0.0	1.0
C1orf141	0.0	1.0
FBXO18	0.0	1.0
CCDC102B	0.0	1.0
CTAGE1_ENST00000391403	0.0	1.0
SH2B1_ENST00000359285	0.0	1.0
MMRN1	0.0	1.0
ZNF780B_ENST00000434248	0.0	1.0
XAF1	0.0	1.0
ABL1	0.0	1.0
LRP10	0.0	1.0
TRIM73_ENST00000323819	0.0	1.0
HOXA11	0.0	1.0
ZBTB4_ENST00000311403	0.0	1.0
PHF15_ENST00000448712	0.0	1.0
MTUS1_ENST00000400046	0.0	1.0
PRPF38B	0.0	1.0
ARFIP2	0.0	1.0
C14orf49	0.0	1.0
C20orf85	0.0	1.0
RBPJ_ENST00000348160	0.0	1.0
ITSN1	0.0	1.0
ENSG00000174450	0.0	1.0
SPATA17	0.0	1.0
RFX6	0.0	1.0
CD69	0.0	1.0
HKR1	0.0	1.0
LRRC27_ENST00000368610	0.0	1.0
TRMT5	0.0	1.0
VANGL1	0.0	1.0
CCDC148	0.0	1.0
EFEMP1	0.0	1.0
USP14	0.0	1.0
EPB41L3_ENST00000544123	0.0	1.0
C6orf165	0.0	1.0
LCLAT1	0.0	1.0
ZNF665	0.0	1.0
IQCC	0.0	1.0
ZNF222_ENST00000391960	0.0	1.0
TBX15_ENST00000369429	0.0	1.0
ZNF618	0.0	1.0
SLC35F1	0.0	1.0
NRXN1	0.0	1.0
FRS2	0.0	1.0
BPTF	0.0	1.0
RAD50	0.0	1.0
CDR2	0.0	1.0
DEFB118	0.0	1.0
MTAC2D1	0.0	1.0
SLC25A30	0.0	1.0
DMC1	0.0	1.0
ZNF23	0.0	1.0
TRIP11	0.0	1.0
FBXL13	0.0	1.0
RNF34_ENST00000392464	0.0	1.0
ZBTB4	0.0	1.0
ZFYVE19	0.0	1.0
ARHGAP10	0.0	1.0
LCMT2	0.0	1.0
COBL	0.0	1.0
TMPO_ENST00000266732	0.0	1.0
NFKBID	0.0	1.0
ING1_ENST00000338450	0.0	1.0
MGST3	0.0	1.0
DNMT3B_ENST00000201963	0.0	1.0
CA11	0.0	1.0
PCDHB14	0.0	1.0
C2orf78	0.0	1.0
OCRL	0.0	1.0
KIFAP3	0.0	1.0
DEPDC5	0.0	1.0
PSMA8	0.0	1.0
FRK	0.0	1.0
KRT7	0.0	1.0
IL12RB2	0.0	1.0
EIF1	0.0	1.0
CPXCR1	0.0	1.0
HDLBP	0.0	1.0
LIFR	0.0	1.0
MTCH2	0.0	1.0
RASAL2_ENST00000462775	0.0	1.0
TBC1D25_ENST00000376771	0.0	1.0
PACRG	0.0	1.0
BCHE	0.0	1.0
ADAM28	0.0	1.0
PANK4	0.0	1.0
ZNF749	0.0	1.0
LRRC69	0.0	1.0
SLFN12L	0.0	1.0
FGA	0.0	1.0
CLEC2B	0.0	1.0
NCLN	0.0	1.0
TAT	0.0	1.0
ITGA5	0.0	1.0
LRRTM3_ENST00000361320	0.0	1.0
SPAG1	0.0	1.0
PLCE1_ENST00000260766	0.0	1.0
KDM2A	0.0	1.0
EMP1	0.0	1.0
DIO2_ENST00000555750	0.0	1.0
KHSRP	0.0	1.0
PARD3	0.0	1.0
