	OG	TSG
NF2_ENST00000403999	-3.6348122328436605	-0.02674332497551092
PBRM1_ENST00000296302	-3.6137171856053083	-0.027321328351247537
PBRM1_ENST00000356770	-3.6137171856053083	-0.027321328351247537
CASP8_ENST00000264275	-3.6137171856053083	-0.027321328351247537
SIK1	-3.4699642389092475	-0.03161259759984144
LRFN1	-3.4699642389092475	-0.03161259759984144
TOP3B	-3.417789976755575	-0.03333427480754607
ITGA7_ENST00000257880	-3.417789976755575	-0.03333427480754607
DENND1A_ENST00000394219	-3.417789976755575	-0.03333427480754607
MYCBPAP	-3.417789976755575	-0.03333427480754607
MAN2A2	-3.417789976755575	-0.03333427480754607
EPS15L1_ENST00000455140	-3.417789976755575	-0.03333427480754607
PDE4A	-3.417789976755575	-0.03333427480754607
PDE9A	-3.417789976755575	-0.03333427480754607
TOP3B_ENST00000357179	-3.417789976755575	-0.03333427480754607
TRO	-3.417789976755575	-0.03333427480754607
KCNH3	-3.417789976755575	-0.03333427480754607
HDAC7	-3.417789976755575	-0.03333427480754607
ZFR2	-3.417789976755575	-0.03333427480754607
PLD2	-3.417789976755575	-0.03333427480754607
USP43	-3.417789976755575	-0.03333427480754607
KRT13	-3.3603753871419	-0.03533936644530874
RPS6KA3	-3.3603753871419	-0.03533936644530874
KDM6A_ENST00000382899	-3.3603753871419	-0.03533936644530874
LIFR_ENST00000263409	-3.3443027156807843	-0.03592236123308697
DMBT1_ENST00000368915	-3.3443027156807843	-0.03592236123308697
ZNF804B	-3.3443027156807843	-0.03592236123308697
ASXL1_ENST00000306058	-3.3443027156807843	-0.03592236123308697
GRIK2_ENST00000369138	-3.3443027156807843	-0.03592236123308697
BRCA1_ENST00000471181	-3.3443027156807843	-0.03592236123308697
MYCBP2	-3.3443027156807843	-0.03592236123308697
DOCK4_ENST00000437633	-3.3443027156807843	-0.03592236123308697
JMJD1C	-3.3443027156807843	-0.03592236123308697
CLEC16A	-3.3443027156807843	-0.03592236123308697
KIAA1804	-3.3443027156807843	-0.03592236123308697
ARID1B_ENST00000346085	-3.3443027156807843	-0.03592236123308697
PTCH1_ENST00000430669	-3.3443027156807843	-0.03592236123308697
NIN_ENST00000245441	-3.3443027156807843	-0.03592236123308697
USP28	-3.3443027156807843	-0.03592236123308697
MPDZ_ENST00000319217	-3.3443027156807843	-0.03592236123308697
GON4L_ENST00000368331	-3.3443027156807843	-0.03592236123308697
MAP2	-3.3443027156807843	-0.03592236123308697
GRM1	-3.3443027156807843	-0.03592236123308697
CACNA1E_ENST00000367573	-3.3443027156807843	-0.03592236123308697
BAT2D1_ENST00000392078	-3.3443027156807843	-0.03592236123308697
UNC13C_ENST00000260323	-3.3443027156807843	-0.03592236123308697
CNTRL_ENST00000373855	-3.3443027156807843	-0.03592236123308697
CENPF	-3.3443027156807843	-0.03592236123308697
KRT24	-3.3443027156807843	-0.03592236123308697
PTPRK	-3.3443027156807843	-0.03592236123308697
ROS1_ENST00000368507	-3.3443027156807843	-0.03592236123308697
SPEG	-3.3443027156807843	-0.03592236123308697
NCAPH	-3.3443027156807843	-0.03592236123308697
SHC1_ENST00000448116	-3.3443027156807843	-0.03592236123308697
SEMA6A	-3.3443027156807843	-0.03592236123308697
USP9X_ENST00000324545	-3.3443027156807843	-0.03592236123308697
AKAP9	-3.3443027156807843	-0.03592236123308697
PDS5B	-3.3443027156807843	-0.03592236123308697
NOTCH3_ENST00000263388	-3.3443027156807843	-0.03592236123308697
ZNF793_ENST00000445217	-3.3443027156807843	-0.03592236123308697
NIN	-3.3443027156807843	-0.03592236123308697
C6	-3.3443027156807843	-0.03592236123308697
HIVEP2	-3.3443027156807843	-0.03592236123308697
HIVEP1	-3.3443027156807843	-0.03592236123308697
TNRC6B_ENST00000454349	-3.3443027156807843	-0.03592236123308697
LINGO1	-3.3443027156807843	-0.03592236123308697
ZC3H13	-3.3443027156807843	-0.03592236123308697
HSPG2	-3.3443027156807843	-0.03592236123308697
BAT2D1	-3.3443027156807843	-0.03592236123308697
KALRN_ENST00000360013	-3.3443027156807843	-0.03592236123308697
ABCA10	-3.3443027156807843	-0.03592236123308697
YLPM1_ENST00000325680	-3.3443027156807843	-0.03592236123308697
CD163L1	-3.3443027156807843	-0.03592236123308697
BPTF	-3.3443027156807843	-0.03592236123308697
TNRC6B	-3.3443027156807843	-0.03592236123308697
MMP24	-3.3443027156807843	-0.03592236123308697
NBEAL1_ENST00000449802	-3.3443027156807843	-0.03592236123308697
ATAD2	-3.3443027156807843	-0.03592236123308697
CEP350	-3.3443027156807843	-0.03592236123308697
TNIK_ENST00000436636	-3.3443027156807843	-0.03592236123308697
SPEF2_ENST00000356031	-3.3443027156807843	-0.03592236123308697
STAG2_ENST00000218089	-3.3443027156807843	-0.03592236123308697
PPFIA2_ENST00000333447	-3.3443027156807843	-0.03592236123308697
DST	-3.3443027156807843	-0.03592236123308697
TDRD6	-3.3443027156807843	-0.03592236123308697
ABCA12_ENST00000389661	-3.3443027156807843	-0.03592236123308697
PTCH1_ENST00000331920	-3.3443027156807843	-0.03592236123308697
EP400_ENST00000333577	-3.3443027156807843	-0.03592236123308697
PCF11_ENST00000298281	-3.3443027156807843	-0.03592236123308697
PDE3A	-3.3443027156807843	-0.03592236123308697
MYH9	-3.3443027156807843	-0.03592236123308697
GOLGA4	-3.3443027156807843	-0.03592236123308697
KDM6A	-3.3443027156807843	-0.03592236123308697
KDM5C_ENST00000375401	-3.3443027156807843	-0.03592236123308697
KDM5C_ENST00000452825	-3.3443027156807843	-0.03592236123308697
NOTCH1	-3.3443027156807843	-0.03592236123308697
PRDM15	-3.3443027156807843	-0.03592236123308697
FSIP2_ENST00000343098	-3.3443027156807843	-0.03592236123308697
ZNF462	-3.3443027156807843	-0.03592236123308697
MLL4	-3.3443027156807843	-0.03592236123308697
VPS13B	-3.3443027156807843	-0.03592236123308697
RIMS1	-3.3443027156807843	-0.03592236123308697
AKAP9_ENST00000356239	-3.3443027156807843	-0.03592236123308697
MYST3	-3.3443027156807843	-0.03592236123308697
USP9X	-3.3443027156807843	-0.03592236123308697
CASZ1	-3.3443027156807843	-0.03592236123308697
KCNQ3	-3.3443027156807843	-0.03592236123308697
BCOR	-3.3443027156807843	-0.03592236123308697
NOTCH3	-3.3443027156807843	-0.03592236123308697
ROS1	-3.3443027156807843	-0.03592236123308697
MGA	-3.3443027156807843	-0.03592236123308697
MPDZ	-3.3443027156807843	-0.03592236123308697
RB1_ENST00000267163	-3.3443027156807843	-0.03592236123308697
NIN_ENST00000382041	-3.3443027156807843	-0.03592236123308697
MDGA2_ENST00000399232	-3.3443027156807843	-0.03592236123308697
UNC5D	-3.3443027156807843	-0.03592236123308697
NOTCH1_ENST00000277541	-3.3443027156807843	-0.03592236123308697
IGSF3	-3.3443027156807843	-0.03592236123308697
NIPBL_ENST00000448238	-3.3443027156807843	-0.03592236123308697
ZMYM3	-3.3443027156807843	-0.03592236123308697
FGA	-3.3443027156807843	-0.03592236123308697
RAPGEF6_ENST00000509018	-3.3443027156807843	-0.03592236123308697
ZNF521	-3.3443027156807843	-0.03592236123308697
FSIP2	-3.3443027156807843	-0.03592236123308697
VPS13B_ENST00000357162	-3.3443027156807843	-0.03592236123308697
EPHA3	-3.3443027156807843	-0.03592236123308697
IGSF1	-3.3443027156807843	-0.03592236123308697
NIN_ENST00000453196	-3.3443027156807843	-0.03592236123308697
FANCM	-3.3443027156807843	-0.03592236123308697
BPTF_ENST00000335221	-3.3443027156807843	-0.03592236123308697
SAMD15	-3.3443027156807843	-0.03592236123308697
SETD2_ENST00000409792	-3.3443027156807843	-0.03592236123308697
NCOR1_ENST00000395851	-3.3443027156807843	-0.03592236123308697
ATF7IP	-3.3443027156807843	-0.03592236123308697
SCN10A	-3.3443027156807843	-0.03592236123308697
MAP3K1_ENST00000399503	-3.3443027156807843	-0.03592236123308697
DOCK4	-3.3443027156807843	-0.03592236123308697
FILIP1	-3.3443027156807843	-0.03592236123308697
YLPM1	-3.3443027156807843	-0.03592236123308697
POLQ	-3.3443027156807843	-0.03592236123308697
ENC1	-3.3443027156807843	-0.03592236123308697
PTCH1_ENST00000375274	-3.3443027156807843	-0.03592236123308697
SPTB	-3.3443027156807843	-0.03592236123308697
ATM_ENST00000278616	-3.3443027156807843	-0.03592236123308697
