	OG	TSG
RBMX	0.036	0.9640000000000001
TP53_ENST00000455263	0.036	0.9640000000000001
TP53_ENST00000420246	0.036	0.9640000000000001
C18orf34_ENST00000383096	0.036	0.9640000000000001
FBXW7_ENST00000281708	0.036	0.9640000000000001
ZFP36L2	0.036	0.9640000000000001
RPL22	0.036	0.9640000000000001
FBXW7_ENST00000534231	0.036	0.9640000000000001
TP53_ENST00000413465	0.036	0.9640000000000001
TP53_ENST00000269305	0.036	0.9640000000000001
TP53_ENST00000414315	0.036	0.9640000000000001
FBXW7_NM_018315_2	0.036	0.9640000000000001
SOX9	0.036	0.9640000000000001
CDKN2A_ENST00000446177	0.036	0.9640000000000001
CREBBP	0.036	0.9640000000000001
NOTCH1	0.036	0.9640000000000001
FBXW7_ENST00000296555	0.036	0.9640000000000001
CASP8_ENST00000264275	0.036	0.9640000000000001
CRIPAK	0.036	0.9640000000000001
CDKN2A_ENST00000498124	0.036	0.9640000000000001
GATA3	0.036	0.9640000000000001
WT1	0.036	0.9640000000000001
TP53_ENST00000545858	0.036	0.9640000000000001
TCF7L2_ENST00000355717	0.036	0.9640000000000001
CASP8_ENST00000358485	0.036	0.9640000000000001
TP53	0.036	0.9640000000000001
ZFP36L1	0.05822222222222222	0.9417777777777777
C3orf27	0.05822222222222222	0.9417777777777777
WT1_ENST00000332351	0.05822222222222222	0.9417777777777777
CDKN1A	0.05822222222222222	0.9417777777777777
CCND3	0.05822222222222222	0.9417777777777777
ELF3_ENST00000359651	0.05822222222222222	0.9417777777777777
B3GALT1	0.05822222222222222	0.9417777777777777
TGFBR2_ENST00000359013	0.05822222222222222	0.9417777777777777
DNMT3A_ENST00000380746	0.05822222222222222	0.9417777777777777
CASP5_ENST00000393141	0.05822222222222222	0.9417777777777777
ELF3	0.05822222222222222	0.9417777777777777
MAP2K4	0.05822222222222222	0.9417777777777777
B2M_ENST00000544417	0.05822222222222222	0.9417777777777777
PIK3R1_ENST00000336483	0.05822222222222222	0.9417777777777777
CBFB_ENST00000412916	0.05822222222222222	0.9417777777777777
WT1_ENST00000379079	0.05822222222222222	0.9417777777777777
ACVR1B_ENST00000541224	0.05822222222222222	0.9417777777777777
PIK3R1_ENST00000320694	0.05822222222222222	0.9417777777777777
ZNF750	0.05972881355932204	0.9402711864406779
RB1_ENST00000267163	0.05972881355932204	0.9402711864406779
NOTCH1_ENST00000277541	0.05972881355932204	0.9402711864406779
RUNX1	0.05972881355932204	0.9402711864406779
MLL3_ENST00000355193	0.05972881355932204	0.9402711864406779
MLL4	0.05972881355932204	0.9402711864406779
BCOR	0.05972881355932204	0.9402711864406779
ZC3H13	0.05972881355932204	0.9402711864406779
PBRM1_ENST00000356770	0.05972881355932204	0.9402711864406779
ZFPM1	0.05972881355932204	0.9402711864406779
KIAA1267	0.05972881355932204	0.9402711864406779
BCOR_ENST00000378444	0.05972881355932204	0.9402711864406779
LARP4B	0.05972881355932204	0.9402711864406779
NCOR1_ENST00000395851	0.05972881355932204	0.9402711864406779
KDM5C_ENST00000452825	0.05972881355932204	0.9402711864406779
GRLF1_ENST00000317082	0.05972881355932204	0.9402711864406779
KDM6A_ENST00000377967	0.05972881355932204	0.9402711864406779
ATM_ENST00000278616	0.05972881355932204	0.9402711864406779
ASXL2_ENST00000435504	0.05972881355932204	0.9402711864406779
TGIF1	0.05972881355932204	0.9402711864406779
ASXL1_ENST00000306058	0.05972881355932204	0.9402711864406779
FAT	0.05972881355932204	0.9402711864406779
RASA1_ENST00000456692	0.05972881355932204	0.9402711864406779
KDM6A	0.05972881355932204	0.9402711864406779
KIAA0182	0.05972881355932204	0.9402711864406779
USP43	0.05972881355932204	0.9402711864406779
SETD2_ENST00000409792	0.05972881355932204	0.9402711864406779
ZMYM3	0.05972881355932204	0.9402711864406779
ATRX_ENST00000373344	0.05972881355932204	0.9402711864406779
TCF7L2	0.05972881355932204	0.9402711864406779
MLL2_ENST00000301067	0.05972881355932204	0.9402711864406779
PTCH1_ENST00000331920	0.05972881355932204	0.9402711864406779
ZC3H13_ENST00000242848	0.05972881355932204	0.9402711864406779
PTCH1_ENST00000375274	0.05972881355932204	0.9402711864406779
