	OG	TSG
ATAD2	-inf	0.0
RASA1	-inf	0.0
MBD6	-inf	0.0
RB1_ENST00000267163	-inf	0.0
RTN4_ENST00000337526	-inf	0.0
ARID1A	-inf	0.0
RBMX	-inf	0.0
RASA1_ENST00000456692	-inf	0.0
SMC6	-inf	0.0
SPRED2	-inf	0.0
ZNF750	-inf	0.0
TRDN	-inf	0.0
RAD50	-inf	0.0
FIP1L1_ENST00000358575	-inf	0.0
PTCH1_ENST00000331920	-inf	0.0
TCF7L2_ENST00000355717	-inf	0.0
ATP13A3	-inf	0.0
LARP4B	-inf	0.0
CSTF1	-inf	0.0
FBXW7_ENST00000534231	-inf	0.0
RUNX1	-inf	0.0
NOTCH2	-inf	0.0
NIPBL	-inf	0.0
BTBD7	-inf	0.0
LARP1_ENST00000336314	-inf	0.0
DUSP16	-inf	0.0
MLL4	-inf	0.0
COBLL1	-inf	0.0
ABCA10	-inf	0.0
SYCP1	-inf	0.0
CASP8_ENST00000264275	-inf	0.0
CBFB_ENST00000290858	-inf	0.0
CHD2_ENST00000394196	-inf	0.0
ZNF276_ENST00000443381	-inf	0.0
RNF111_ENST00000434298	-inf	0.0
MLL3_ENST00000355193	-inf	0.0
RNF111	-inf	0.0
TCF7L2	-inf	0.0
CNTN6	-inf	0.0
CDKN2A_ENST00000498124	-inf	0.0
SAV1	-inf	0.0
KDM5C_ENST00000375401	-inf	0.0
ING1_ENST00000338450	-inf	0.0
BCL9L_ENST00000334801	-inf	0.0
BRD7	-inf	0.0
NFATC4	-inf	0.0
RUNX1_ENST00000486278	-inf	0.0
TCF7L2_ENST00000543371	-inf	0.0
FAM123B_ENST00000330258	-inf	0.0
ARID1B_ENST00000346085	-inf	0.0
RMND5B	-inf	0.0
CCND3	-inf	0.0
PDS5B	-inf	0.0
HLA-A_ENST00000376806	-inf	0.0
BAX	-inf	0.0
COBL	-inf	0.0
LIMCH1_ENST00000503057	-inf	0.0
PTCH1_ENST00000375274	-inf	0.0
TP53_ENST00000269305	-inf	0.0
PBRM1_ENST00000356770	-inf	0.0
SP140_ENST00000392045	-inf	0.0
ZC3H13	-inf	0.0
SPECC1_ENST00000261503	-inf	0.0
CCR4	-inf	0.0
GRLF1	-inf	0.0
ZC3H18	-inf	0.0
PKD1L2_ENST00000525539	-inf	0.0
CASP8_ENST00000358485	-inf	0.0
ESRP1	-inf	0.0
DAZAP1	-inf	0.0
GRLF1_ENST00000317082	-inf	0.0
NF1_ENST00000444181	-inf	0.0
ZNF14	-inf	0.0
B3GALT1	-inf	0.0
HOXB3	-inf	0.0
FBXW7_ENST00000281708	-inf	0.0
BRCA2_ENST00000544455	-inf	0.0
PPP2R5A_ENST00000537030	-inf	0.0
TOMM70A	-inf	0.0
ADNP	-inf	0.0
IWS1	-inf	0.0
KRT4	-inf	0.0
RAPGEF6_ENST00000509018	-inf	0.0
ING1	-inf	0.0
USP43	-inf	0.0
LRRIQ3	-inf	0.0
IFI16	-inf	0.0
BMPR2	-inf	0.0
TP53_ENST00000413465	-inf	0.0
ACTL6B	-inf	0.0
TAF1B	-inf	0.0
AASDH	-inf	0.0
TP53_ENST00000420246	-inf	0.0
DIEXF	-inf	0.0
RPL22	-inf	0.0
ZNF292_ENST00000369577	-inf	0.0
ZNF276	-inf	0.0
MAP3K1_ENST00000399503	-inf	0.0
NCOR1_ENST00000395851	-inf	0.0
ZNF292	-inf	0.0
FIP1L1_ENST00000337488	-inf	0.0
FBXW7_ENST00000296555	-inf	0.0
PTCH1_ENST00000430669	-inf	0.0
CRSP3	-inf	0.0
HDAC2	-inf	0.0
RAPGEF6_ENST00000307984	-inf	0.0
TFE3_ENST00000336239	-inf	0.0
ASTE1	-inf	0.0
EIF2AK1	-inf	0.0
PBRM1_ENST00000296302	-inf	0.0
TRIM17_ENST00000456946	-inf	0.0
SETD2_ENST00000409792	-inf	0.0
QKI_ENST00000275262	-inf	0.0
PKD1L2	-inf	0.0
NF1_ENST00000358273	-inf	0.0
MSH3	-inf	0.0
FAM117B	-inf	0.0
