	OG	TSG
CREBBP	0.030699226302539386	0.9693007736974607
BCOR_ENST00000378444	0.03512009279237139	0.9648799072076287
BCOR	0.03512009279237139	0.9648799072076287
GATA3	0.03512009279237139	0.9648799072076287
ZMYM3	0.03848565566850157	0.9615143443314985
TBX3	0.04036728946721873	0.9596327105327813
ARID1A	0.04036728946721873	0.9596327105327813
RB1_ENST00000267163	0.04036728946721873	0.9596327105327813
TNRC6B_ENST00000454349	0.04036728946721873	0.9596327105327813
PBRM1_ENST00000296302	0.04036728946721873	0.9596327105327813
MLL4	0.04036728946721873	0.9596327105327813
ATRX_ENST00000373344	0.04036728946721873	0.9596327105327813
PBRM1_ENST00000356770	0.04036728946721873	0.9596327105327813
NF2_ENST00000403999	0.04036728946721873	0.9596327105327813
KMT2D	0.04036728946721873	0.9596327105327813
KDM6A	0.04036728946721873	0.9596327105327813
SETD2_ENST00000409792	0.04036728946721873	0.9596327105327813
NOTCH1	0.04036728946721873	0.9596327105327813
NOTCH1_ENST00000277541	0.04036728946721873	0.9596327105327813
MLL2_ENST00000301067	0.04478815595705073	0.9552118440429493
MAP3K1_ENST00000399503	0.04478815595705073	0.9552118440429493
PTCH1_ENST00000375274	0.04478815595705073	0.9552118440429493
MBD6	0.04478815595705073	0.9552118440429493
PTCH1_ENST00000430669	0.04478815595705073	0.9552118440429493
ZNF750	0.04478815595705073	0.9552118440429493
MLL3_ENST00000355193	0.04478815595705073	0.9552118440429493
PTCH1_ENST00000331920	0.04478815595705073	0.9552118440429493
STAG2_ENST00000218089	0.04478815595705073	0.9552118440429493
ASXL2_ENST00000435504	0.04478815595705073	0.9552118440429493
FAT	0.04478815595705073	0.9552118440429493
LARP4B	0.04478815595705073	0.9552118440429493
RASA1	0.045755220501701485	0.9542447794982986
RASA1_ENST00000456692	0.045755220501701485	0.9542447794982986
KDM5C_ENST00000452825	0.047910392915494586	0.9520896070845054
ZFP36L2	0.048145070688038936	0.9518549293119611
ZC3H13_ENST00000242848	0.04815371883318091	0.9518462811668191
SIN3A	0.04815371883318091	0.9518462811668191
MLLT4_ENST00000366806	0.04815371883318091	0.9518462811668191
ZC3H13	0.04815371883318091	0.9518462811668191
ATM_ENST00000278616	0.04815371883318091	0.9518462811668191
NOTCH2	0.04815371883318091	0.9518462811668191
FBXW7_ENST00000281708	0.04838839660572525	0.9516116033942749
SOX9	0.049901246405282595	0.9500987535947174
PDS5B	0.05017608699153349	0.9498239130084666
ARID1B_ENST00000346085	0.05017608699153349	0.9498239130084666
KDM5C_ENST00000375401	0.0523312594053266	0.9476687405946734
NF1	0.05247687916301532	0.9475231208369848
KIAA1267	0.05247687916301532	0.9475231208369848
NF1_ENST00000358273	0.05247687916301532	0.9475231208369848
CASP8_ENST00000264275	0.05256634152541574	0.9474336584745844
GRLF1	0.052574585323012915	0.9474254146769872
WT1	0.05276819181978077	0.9472318081802192
CDKN2A_ENST00000446177	0.05327722301846713	0.946722776981533
MLLT4_ENST00000392108	0.05354164986766367	0.9464583501323364
MLLT4	0.05354164986766367	0.9464583501323364
CRIPAK	0.055599116121459166	0.9444008838785409
KIAA0182	0.05587189979941526	0.9441281002005849
TET2_ENST00000305737	0.05686237872092866	0.9431376212790714
TCF7L2	0.062234404690095085	0.937765595309905
BCORL1	0.06433696419702482	0.9356630358029752
SCAF4	0.06489204631956179	0.9351079536804383
CASP8_ENST00000358485	0.06518198492322902	0.934818015076771
TSC2_ENST00000219476	0.06670219893556148	0.9332978010644386
C18orf34_ENST00000383096	0.06780641197725334	0.9321935880227467
MAP2K4	0.06977418258597456	0.9302258174140254
BRCA2_ENST00000544455	0.07151423548485439	0.9284857645151458
TCF7L2_ENST00000543371	0.07331814853245962	0.9266818514675405
BCL9L_ENST00000392849	0.07423970513424852	0.9257602948657515
KDM6A_ENST00000377967	0.07485004808790838	0.9251499519120917
NCOR1_ENST00000395851	0.07485004808790838	0.9251499519120917
KDM6A_ENST00000382899	0.07485004808790838	0.9251499519120917
CTNND1	0.07699971701502173	0.9230002829849783
CTNND1_ENST00000399050	0.07699971701502173	0.9230002829849783
RBMX	0.0770595570882178	0.9229404429117822
ZC3H18	0.0792709145777404	0.9207290854222596
GRLF1_ENST00000317082	0.07927091457774037	0.9207290854222596
MGA	0.0792709145777404	0.9207290854222596
CHD2_ENST00000394196	0.07966649701126285	0.9203335029887372
ZFP36L1	0.07975119604416431	0.9202488039558359
BCL9L	0.0803270922561184	0.9196729077438817
RBM5	0.08117725758716741	0.9188227424128326
BMPR2	0.08132287734485615	0.9186771226551439
RAPGEF6_ENST00000509018	0.08198480399416513	0.9180151960058349
RAPGEF6_ENST00000307984	0.08202845264720562	0.9179715473527944
KBTBD4	0.08238764804950449	0.9176123519504955
EP300	0.08263647745387057	0.9173635225461294
IWS1	0.08353689507611525	0.9164631049238848
FBXW7_ENST00000534231	0.08428893723382576	0.9157110627661743
SMARCA1	0.08454282046329759	0.9154571795367024
TNRC6B_ENST00000301923	0.08471789798125608	0.915282102018744
ACIN1_ENST00000338631	0.08647602220419631	0.9135239777958037
NIPBL_ENST00000448238	0.08735522021722744	0.9126447797827726
ATAD2	0.08735522021722744	0.9126447797827726
BCL9L_ENST00000334801	0.08792904102186025	0.9120709589781398
CNTN6	0.08874343936218727	0.9112565606378127
TTK	0.08886598079313199	0.9111340192068681
LMAN1	0.08892482611059802	0.9110751738894021
OFD1	0.08896368695312959	0.9110363130468704
RNF111	0.08910930671081832	0.9108906932891817
FUBP1_ENST00000436586	0.0894786624402964	0.9105213375597037
