CV fold	random_seed	n_estimator	max_features	max_depth	criterion	Accuracy
4	0	29	sqrt	3	gini	0.7894736842105263
4	1	11	sqrt	3	entropy	0.7777777777777778
4	2	20	log2	4	gini	0.7777777777777778
4	3	10	sqrt	2	gini	0.7777777777777778
4	4	6	sqrt	4	entropy	0.7660818713450293
4	5	22	sqrt	4	gini	0.7719298245614035
4	6	29	sqrt	2	gini	0.7719298245614035
4	7	12	log2	4	gini	0.7777777777777778
4	8	29	sqrt	3	gini	0.7660818713450293
4	9	18	log2	2	gini	0.783625730994152
4	10	21	sqrt	3	gini	0.7660818713450293
4	11	20	log2	4	gini	0.7894736842105263
4	12	27	log2	4	entropy	0.783625730994152
4	13	30	sqrt	3	gini	0.7543859649122807
4	14	11	log2	4	gini	0.7543859649122807
4	15	6	sqrt	3	gini	0.7719298245614035
4	16	19	log2	4	gini	0.783625730994152
4	17	28	log2	4	gini	0.7660818713450293
4	18	20	log2	3	entropy	0.783625730994152
4	19	30	log2	3	gini	0.7719298245614035
4	20	22	log2	3	entropy	0.7719298245614035
4	21	19	log2	2	gini	0.7894736842105263
4	22	21	log2	4	gini	0.783625730994152
4	23	28	log2	3	gini	0.7719298245614035
4	24	5	sqrt	4	gini	0.7777777777777778
4	25	6	log2	4	gini	0.7719298245614035
4	26	21	log2	2	gini	0.7660818713450293
4	27	16	sqrt	3	gini	0.7953216374269005
4	28	12	log2	4	entropy	0.7660818713450293
4	29	16	sqrt	4	gini	0.7660818713450293
4	30	22	log2	4	entropy	0.7894736842105263
4	31	29	sqrt	3	entropy	0.7719298245614035
4	32	14	sqrt	3	gini	0.783625730994152
4	33	7	sqrt	3	gini	0.7719298245614035
4	34	20	log2	3	gini	0.7543859649122807
4	35	24	log2	4	gini	0.7719298245614035
4	36	30	log2	3	entropy	0.7777777777777778
4	37	7	log2	2	gini	0.7602339181286549
4	38	23	log2	3	gini	0.7894736842105263
4	39	8	sqrt	4	entropy	0.7894736842105263
4	40	27	sqrt	3	gini	0.7719298245614035
4	41	27	sqrt	3	gini	0.7719298245614035
4	42	25	log2	3	gini	0.7660818713450293
4	43	11	log2	3	entropy	0.7894736842105263
4	44	9	sqrt	3	gini	0.7660818713450293
4	45	8	log2	3	entropy	0.783625730994152
4	46	25	log2	2	entropy	0.7719298245614035
4	47	13	log2	3	entropy	0.7777777777777778
4	48	12	log2	3	gini	0.783625730994152
4	49	21	log2	4	gini	0.7777777777777778
4	50	18	log2	3	entropy	0.783625730994152
4	51	12	sqrt	3	entropy	0.7953216374269005
4	52	22	log2	2	gini	0.7777777777777778
4	53	6	log2	3	gini	0.783625730994152
4	54	14	log2	3	gini	0.7660818713450293
4	55	30	sqrt	3	entropy	0.7602339181286549
4	56	11	log2	4	entropy	0.7719298245614035
4	57	20	log2	4	entropy	0.783625730994152
4	58	27	log2	3	gini	0.7777777777777778
4	59	29	sqrt	3	gini	0.7660818713450293
4	60	20	sqrt	4	gini	0.7719298245614035
4	61	12	log2	3	entropy	0.7777777777777778
4	62	22	sqrt	3	gini	0.7953216374269005
4	63	21	sqrt	2	entropy	0.7777777777777778
4	64	12	log2	3	entropy	0.783625730994152
4	65	8	sqrt	3	entropy	0.7719298245614035
4	66	23	sqrt	2	gini	0.783625730994152
4	67	6	sqrt	3	gini	0.7894736842105263
4	68	23	log2	4	gini	0.783625730994152
4	69	29	sqrt	4	gini	0.7719298245614035
4	70	13	log2	3	gini	0.7719298245614035
4	71	23	sqrt	4	entropy	0.7719298245614035
4	72	29	log2	4	gini	0.7894736842105263
4	73	30	sqrt	4	entropy	0.783625730994152
4	74	7	log2	2	entropy	0.7719298245614035
4	75	20	log2	4	entropy	0.783625730994152
4	76	17	sqrt	4	gini	0.7660818713450293
4	77	8	sqrt	3	entropy	0.7660818713450293
4	78	29	sqrt	4	entropy	0.7777777777777778
4	79	9	log2	4	entropy	0.8011695906432749
4	80	5	sqrt	4	gini	0.783625730994152
4	81	26	sqrt	4	entropy	0.783625730994152
4	82	14	sqrt	4	gini	0.7660818713450293
4	83	21	sqrt	4	gini	0.7602339181286549
4	84	11	log2	2	gini	0.783625730994152
4	85	9	log2	2	gini	0.7894736842105263
4	86	11	sqrt	3	entropy	0.7894736842105263
4	87	26	log2	3	entropy	0.783625730994152
4	88	27	sqrt	3	entropy	0.7602339181286549
4	89	26	log2	4	entropy	0.7953216374269005
4	90	12	sqrt	4	entropy	0.7660818713450293
4	91	20	sqrt	4	gini	0.7719298245614035
4	92	8	sqrt	4	entropy	0.7894736842105263
4	93	19	sqrt	2	gini	0.7953216374269005
4	94	8	sqrt	3	entropy	0.7953216374269005
4	95	14	log2	2	gini	0.7719298245614035
4	96	18	log2	2	gini	0.7777777777777778
4	97	7	sqrt	3	entropy	0.7777777777777778
4	98	18	log2	4	gini	0.783625730994152
4	99	19	sqrt	4	entropy	0.7719298245614035
4	100	17	sqrt	2	gini	0.7719298245614035
4	101	21	log2	3	entropy	0.783625730994152
4	102	11	sqrt	2	gini	0.7777777777777778
4	103	8	sqrt	3	entropy	0.7894736842105263
4	104	7	sqrt	4	entropy	0.7777777777777778
4	105	18	log2	3	gini	0.7660818713450293
4	106	9	log2	3	entropy	0.7719298245614035
4	107	11	log2	4	entropy	0.7953216374269005
4	108	13	log2	3	gini	0.7719298245614035
4	109	6	log2	3	entropy	0.783625730994152
4	110	13	log2	4	gini	0.7953216374269005
4	111	20	log2	4	gini	0.783625730994152
4	112	25	log2	4	gini	0.7602339181286549
4	113	23	sqrt	3	entropy	0.7719298245614035
4	114	21	sqrt	4	gini	0.783625730994152
4	115	11	sqrt	4	entropy	0.783625730994152
4	116	16	log2	4	entropy	0.7894736842105263
4	117	18	sqrt	4	gini	0.7719298245614035
4	118	24	log2	4	gini	0.7894736842105263
4	119	22	log2	3	gini	0.783625730994152
4	120	7	sqrt	4	entropy	0.783625730994152
4	121	6	log2	4	gini	0.783625730994152
4	122	23	sqrt	4	entropy	0.783625730994152
4	123	6	log2	3	entropy	0.7660818713450293
4	124	28	sqrt	4	gini	0.7777777777777778
4	125	23	sqrt	3	entropy	0.7660818713450293
4	126	30	log2	3	entropy	0.7777777777777778
4	127	21	sqrt	3	entropy	0.7777777777777778
4	128	28	sqrt	4	gini	0.7777777777777778
4	129	17	log2	4	gini	0.7719298245614035
4	130	6	sqrt	2	gini	0.7777777777777778
